可喜,kěxĭ,Vs
可笑,kěxiào ,Vs
客房,kèfáng ,N
客觀,kèguān ,Vs
客戶,kèhù ,N
課外,kèwài ,Vs-attr
空,kōng ,Adv
空前,kōngqián ,Vs-attr
空中,kōngzhōng ,N
恐怖,kŏngbù,Vs
空/空兒,kòng/kòngr,N
控制,kòngzhì  ,V
口,kŏu,M
口才,kŏucái,N
口號,kŏuhào,N
口紅,kŏuhóng,N
口氣,kŏuqì  ,N
口試,kŏushì  ,N
口試,kŏushì  ,Vi
口水,kŏushuĭ ,N
口音,kŏuyīn  ,N
口語,kŏuyŭ  ,N
扣,kòu ,V
誇獎,kuājiăng ,V
跨,kuà,V
會計,kuàijì ,N
寬度,kuāndù ,N
喇叭(ㄅㄚ˙),lăba ,N
蠟燭,làzhú  ,N
辣椒,làjiāo ,N
來,lái ,N
來回,láihuí  ,V
來臨,láilín  ,Vp
來往,láiwăng  ,Vi
來信,láixìn  ,N
來源,láiyuán  ,N
來自,láizì  ,Vpt
籃子,lánzi ,N
懶,lăn ,Vs
懶得,lănde ,Vaux
爛,làn ,Vs
濫用,lànyòng ,V
狼,láng ,N
浪,làng ,N
浪費,làngfèi ,Vs
撈,lāo ,V
牢,láo ,Vs
牢騷,láosāo ,N
勞動,láodòng ,V
勞工,láogōng ,N
勞力,láolì ,N
嘮叨(ㄉㄠ˙),láodao ,Vi
老,lăo ,Adv
老百姓,lăobăixìng ,N
老闆娘/老板娘,lăobănniáng,N
老大,lăodà ,N
老家,lăojiā ,N
老實說,lăoshíshuō ,
老太太,lăotàitai ,N
樂意,lèyì ,Vs
類似,lèisì ,Vs
冷靜,lěngjìng ,Vs
冷飲,lěngyĭn ,N
梨(子),lí(zi),N
理,lĭ,V
理,lĭ,Vst
理由,lĭyóu,N
裡/裏頭,lĭtou,N
禮,lĭ,N
禮品,lĭpĭn,N
力氣,lìqì ,N
立,lì ,V
立場,lìchăng ,N
立即,lìjí ,Adv
利,lì ,Vs
利潤,lìrùn ,N
利息,lìxí ,N
例外,lìwài ,Vs
粒,lì ,M
聯合,liánhé ,V
聯合國,liánhéguó ,N
連,lián ,Adv
連接,liánjiē ,Vst
連忙,liánmáng ,Adv
連續,liánxù ,Vs-attr
臉色,liănsè ,N
量,liáng ,V
糧食,liángshí ,N
倆,liăng ,N
亮,liàng ,V
諒解,liàngjiě ,Vst
了,liăo ,Vst
列,liè ,M
裂,liè ,Vp
淋,lín ,V
臨,lín ,Vst
臨時,línshí ,N
凌晨,língchén ,N
靈活,línghuó ,Vs
零件,língjiàn ,N
零售,língshòu ,V
零下,língxià ,Vs-attr
領帶,lĭngdài,N
領導,lĭngdăo ,N
領土,lĭngtŭ ,N
領先,lĭngxiān ,Vpt
領袖,lĭngxiù ,N
另,lìng ,Det
另外,lìngwài ,Conj
另外,lìngwài ,Det
溜,liū ,Vi
流動,liúdòng ,Vi
流利,liúlì ,Vs
留念,liúniàn ,Vs
嘍,lóu ,Ptc
摟,lǒu ,V
露,lù ,V
路燈,lùdēng  ,N
路線,lùxiàn  ,N
陸軍,lùjūn  ,N
陸續,lùxù  ,Adv
錄用,lùyòng  ,V
輪船,lúnchuán ,N
輪流,lúnliú ,Adv
輪子,lúnzi ,N
論,lùn ,V
論文,lùnwén ,N
落,luò ,Vi
落後,luòhòu  ,Vpt
落實,luòshí  ,V
落伍,luòwŭ  ,Vs
旅行社,lǚxíngshè ,N
綠豆,lǜdòu ,N
略,lüè ,Vs
麻,má ,Vs
麻雀,máquè ,N
馬虎(ㄏㄨ˙),măhu,Vs
埋,mái ,V
買單,măidān ,V-sep
買賣, măimài  ,V
饅頭,mántou ,N
滿/蠻,măn/mán,Adv
漫畫,mànhuà ,N
忙碌,mánglù ,Vs
盲目,mángmù ,Vs
矛盾,máodùn ,Vs
毛巾,máojīn ,N
冒,mào ,V
煤,méi ,N
梅花,méihuā ,N
美觀,měiguān ,Vs
美妙,měimiào ,Vs
魅力,mèilì ,N
門, mén ,M
門票,ménpiào ,N
門診,ménzhěn ,Vi
猛, měng  ,Vs
夢到,mèngdào ,Vpt
夢想,mèngxiăng ,N
夢想, mèngxiăng  ,V
迷,mí ,Vst
迷糊,míhú ,Vs
迷失,míshī ,Vp
迷信,míxìn ,N
迷信,míxìn ,Vs
密,mì ,Vs
蜜蜂,mìfēng ,N
秘/祕書,mìshū ,N
棉,mián ,N
棉被,miánbèi ,N
棉花,miánhuā ,N
免得,miănde ,Vaux
勉強,miǎnqiǎng,Vs
面,miàn,M
面對,miànduì ,V
面臨,miànlín ,Vst
面貌,miànmào ,N
面子,miànzi ,N
麵粉,miànfěn ,N
妙,miào ,Vs
滅亡,mièwáng ,Vp
民間,mínjiān ,N
民謠, mínyáo  ,N
民眾, mínzhòng  ,N
民主,mínzhŭ ,N
民主,mínzhŭ ,Vs
名,míng ,M
名,míng ,Vst
名稱,míngchēng ,N
名單,míngdān ,N
名牌,míngpái ,N
名片,míngpiàn ,N
明白,míngbái ,Vs
明亮,míngliàng ,Vs
明明,míngmíng ,Adv
明確,míngquè ,Vs
命,mìng ,V
命令,mìnglìng ,N
命令,mìnglìng ,V
命運,mìngyùn ,N
磨,mó ,V
模仿,mófăng ,V
模糊,móhú ,Vs
模型,móxíng ,N
模樣,móyàng ,N
抹,mŏ,V
目標,mùbiāo ,N
目的地,mùdìdì ,N
目錄,mùlù ,N
哪怕,năpà ,Conj
奶粉,năifěn ,N
耐心,nàixīn ,Adv
耐用,nàiyòng ,Vs
難道,nándào ,Adv
難得,nándé ,Vs
難受,nánshòu ,Vs
難以,nányǐ ,Adv
男性,nánxìng,N
腦袋,năodài ,N
腦筋,năojīn ,N
鬧,nào ,V
鬧區,nàoqū ,N
內部,nèibù ,N
內地,nèidì,N
內行,nèiháng ,Vs
內科,nèikē ,N
能幹,nénggàn ,Vs
能源,néngyuán ,N
泥,ní ,N
泥土,nítŭ ,N
粘,nián ,V
黏,nián ,V
黏,nián ,Vs
尿,niào ,N
尿,niào ,Vi
捏,niē ,V
寧可,níngkě ,Vaux
寧願,níngyuàn ,Vaux
鈕扣,niŭkòu ,N
農場,nóngchăng ,N
農產品,nóngchănpĭn  ,N
農村,nóngcūn  ,N
農民/農夫,nóngmín/nóngfū ,N
農藥,nóngyào  ,N
濃,nóng ,Vs
濃厚,nónghòu  ,Vs
暖,nuăn,Vs
暖和,nuănhuo ,Vs
暖氣,nuănqì  ,N
女性,nǚxìng ,N
哦,ó,Ptc
偶然,ǒurán ,Vs
排,pái ,M
排,pái ,V
排斥,páichì  ,V
排列,páiliè ,V
排球,páiqiú  ,N
派,pài ,V
攀,pān ,V
盤,pán,M
判斷,pànduàn ,V
泡,pào ,V
炮,pào ,N
砲,pào ,N
賠,péi ,V
賠償,péicháng ,V
陪同,péitóng  ,V
佩服,pèifú ,Vst
噴,pēn ,V
盆,pén ,M
膨脹,péngzhàng ,Vp
捧,pěng ,V
碰見,pèngjiàn ,Vpt
匹,pī ,M
批,pī ,M
批,pī ,V
批判,pīpàn ,V
皮,pí ,Vs
披,pī ,V
疲倦,píjuàn ,Vs
疲勞,píláo ,Vs
脾氣,píqì ,N
屁股(ㄍㄨ˙),pìgu ,N
篇,piān ,M
偏/偏偏,piān/piānpiān,Adv
偏食,piānshí ,Vs
偏向,piānxiàng ,Vst
騙,piàn ,V
片面,piànmiàn ,Vs-attr
片子,piànzi ,N
飄,piāo ,Vi
拼命,pīnmìng ,Vs
貧窮,pínqióng ,Vs
品德,pĭndé ,N
聘請,pìnqĭng ,V
憑,píng ,Prep
平常,píngcháng ,Vs
平衡,pínghéng ,Vst
平靜,píngjìng ,Vs
平均,píngjūn ,Vs
婆婆,pópó ,N
頗,pŏ,Adv
破爛,pòlàn ,Vs
破裂,pòliè ,Vp
迫切,pòqiè ,Vs
撲,pū ,V
撲滅,pūmiè ,V
鋪,pū ,V
普及,pŭjí ,Vs
普通,pŭtōng ,Vs
普通話,pŭtōnghuà ,N
瀑布,pùbù ,N
欺騙,qīpiàn ,V
妻子,qīzĭ ,N
期,qí,M
期,qí,N
期限,qíxiàn ,N
其,qí ,N
其餘,qíyú ,Det
棋,qí ,N
齊,qí ,Vs
齊全,qíquán ,Vs
旗袍,qípáo ,N
旗子,qízi ,N
歧視,qíshì ,Vst
起,qĭ,M
起,qĭ,V
起初,qĭchū ,Adv
起火,qĭhuŏ,Vp
企圖,qìtú ,N
企圖,qìtú ,Vaux
汽油,qìyóu ,N
器材,qìcái ,N
器官,qìguān ,N
氣氛,qìfēn ,N
氣憤,qìfèn ,Vs
氣候,qìhòu ,N
氣味,qìwèi ,N
氣息,qìxí ,N
氣象,qìxiàng ,N
千萬,qiānwàn ,Adv
牽,qiān ,V
遷,qiān ,V
簽,qiān ,V
簽訂,qiāndìng ,V
簽約,qiānyuē ,V-sep
簽字,qiānzì ,V-sep
前方,qiánfāng ,N
前進,qiánjìn ,V
前頭,qiántou ,N
前途,qiántú ,N
前往,qiánwăng ,V
前院,qiányuàn ,N
欠,qiàn ,V
歉意,qiànyì ,N
槍,qiāng ,N
強,qiáng ,Vs
強大,qiángdà ,Vs
強度,qiángdù ,N
強烈,qiángliè ,Vs
強迫,qiángpò ,V
強人,qiángrén ,N
牆壁,qiángbì ,N
搶救,qiăngjiù ,V
敲,qiāo ,V
瞧,qiáo ,V
巧,qiăo,Vs
巧妙,qiăomiào ,Vs
悄悄,qiăoqiăo,Adv
切,qiē ,V
且,qiě ,Conj
親愛,qīnài ,Vs-attr
親口,qīnkŏu ,Adv
親戚,qīnqī  ,N
親人,qīnrén ,N
侵害,qīnhài ,V
侵入,qīnrù ,V
勤勞,qínláo ,Vs
寢室,qǐnshì ,N
青,qīng ,Vs
清,qīng ,V
清晨,qīngchén ,N
清除,qīngchú ,V
清楚,qīngchŭ ,Vs
清淡,qīngdàn ,Vs
清晰,qīngxī  ,Vs
清醒,qīngxĭng  ,Vs
輕傷,qīngshāng  ,N
輕視,qīngshì ,Vst
傾向,qīngxiàng ,Vst
情書,qíngshū  ,N
情緒,qíngxù ,N
秋季,qiūjì ,N
求婚,qiúhūn ,V-sep
球隊,qiúduì ,N
球鞋,qiúxié ,N
曲折,qūzhé ,Vs
區別,qūbié ,N
區別,qūbié ,V
區域,qūyù ,N
取,qŭ ,V
取得,qŭdé ,Vpt
取笑,qŭxiào ,V
取消,qŭxiāo ,V
娶,qŭ ,V
去,qù ,V
圈,quān ,M
全家,quánjiā ,N
全面,quánmiàn ,Adv
全面,quánmiàn ,Vs-attr
全體,quántĭ,N
拳頭,quántou,N
權利,quánlì ,N
勸,quàn ,V
缺,quē ,Vst
缺乏,quēfá ,Vst
缺少,quēshăo ,Vst
缺席,quēxí ,Vs
確實,quèshí ,Vs
群,qún ,M
群眾,qúnzhòng ,N
然而,ránér ,Conj
燃料,ránliào ,N
燃燒,ránshāo ,V
染,răn ,V
讓,ràng ,V
讓步,ràngbù ,Vi
繞,rào ,V
惹,rě ,V
惹,rě ,Vst
熱愛,rèài ,Vst
熱烈,rèliè ,Vs
熱門,rèmén ,Vs
熱情,rèqíng ,N
熱情,rèqíng ,Vs
熱心,rèxīn ,Vs
人才,réncái ,N
人格,réngé ,N
人工,réngōng ,N
人力,rénlì ,N
人情味/人情味兒,rénqíngwèi/rénqíngwèir,N
人權,rénquán ,N
人生,rénshēng ,N
人事,rénshì ,N
人體,réntǐ ,N
人心,rénxīn ,N
人行道,rénxíngdào ,N
人員,rényuán ,N
忍不住,rěnbúzhù ,Vs
忍受,rěnshòu ,Vst
忍心,rěnxīn ,Vs
任,rèn ,Vst
任,rèn ,Vst
任性,rènxìng ,Vs
日常,rìcháng ,Vs-attr
日後,rìhòu ,N
日用品,rìyòngpĭn ,N
容,róng ,Vst
融化,rónghuà ,Vp
榮幸,róngxìng ,Vs
如,rú ,Vst
如,rú ,Vst
如果說,rúguŏshuō,Conj
如何,rúhé ,Adv
如何,rúhé ,Vs
如今,rújīn ,N
如同,rútóng ,Vst
入,rù ,V
入境,rùjìng,V
入口,rùkŏu,N
入學,rùxué ,Vp
軟,ruăn ,Vs
塞,sāi,V
賽跑,sàipăo ,Vi
三角形,sānjiăoxíng ,N
散,sàn,V
散,sàn,Vp
喪失,sàngshī ,Vpt
艘,sāo ,M
掃,săo ,V
色彩,sècăi ,N
色情,sèqíng ,N
沙,shā ,N
沙漠,shāmò  ,N
沙灘,shātān  ,N
沙子,shāzi  ,N
殺價,shājià ,V-sep
傻,shă ,Vs
曬太陽,shàitàiyáng ,Vi
山地,shāndì ,N
閃,shăn ,Vi
閃,shăn ,Vp
善於,shànyú ,Vst
扇子,shànzi ,N
傷,shāng ,N
傷,shāng ,Vs
傷腦筋,shāngnăojīn ,Vs
商標,shāngbiāo ,N
商場,shāngchăng ,N
商量,shāngliáng ,V
上,shàng ,V
上,shàng ,V
上級,shàngjí ,N
上升,shàngshēng ,Vi
上市,shàngshì ,Vp
上述,shàngshù ,N
上台/臺,shàngtái ,V-sep
上頭,shàngtou ,N
上下,shàngxià ,N
上游,shàngyóu ,N
稍,shāo ,Adv
稍微,shāowéi ,Adv
少數,shăoshù ,Det
少年,shàonián ,N
少女,shàonǚ ,N
舌頭,shétou ,N
捨不得,shěbùdé ,Vst
捨得,shědé ,Vst
射,shè ,V
社會,shèhuì ,N
社交,shèjiāo ,N
社團,shètuán ,N
設立,shèlì ,V
設置,shèzhì ,V
攝影,shèyĭng ,Vi
申請,shēnqĭng ,V
伸,shēn ,V
伸手,shēnshŏu,Vi
身材,shēncái ,N
身分/份,shēnfèn ,N
身分/份證,shēnfènzhèng ,N
深刻,shēnkè ,Vs
深淺,shēnqiăn ,N
深夜,shēnyè ,N
神,shén ,N
神話,shénhuà ,N
神經,shénjīng ,N
神秘,shénmì ,Vs
神奇,shénqí ,Vs
神氣,shénqì ,Vs
神聖,shénshèng ,Vs
神仙,shénxiān ,N
審查,shěnchá ,V
慎重,shènzhòng ,Vs
升,shēng ,Vp
升高,shēnggāo ,Vp
升級,shēngjí ,Vp
升學,shēngxué ,Vi
生,shēng ,Vs-attr
生存,shēngcún ,Vs
生肖,shēngxiào ,N
生長,shēngzhăng ,Vs
聲,shēng,M
繩(子),shéng(zi),N
省,shěng ,Vs
省得,shěngde ,Vaux
勝,shèng ,Vp
勝利,shènglì ,Vp
失敗,shībài ,Vs
失掉,shīdiào ,Vpt
失眠,shīmián ,Vp
失望,shīwàng ,Vs
失業,shīyè ,Vp
溼,shī ,Vs
詩,shī ,N
詩人,shīrén ,N
師父(ㄈㄨ˙),shīfu,N
師傅,shīfù ,N
師母,shīmŭ ,N
施工,shīgōng ,Vi
時常,shícháng ,Adv
時機,shíjī ,N
時期,shíqí ,N
時時,shíshí ,Adv
食品,shípǐn ,N
實用,shíyòng ,Vs
實在,shízài ,Adv
實施,shíshī ,V
實現,shíxiàn ,V
實驗,shíyàn ,N
實驗,shíyàn ,Vi
使,shĭ,V
始終,shĭzhōng ,Adv
示威,shìwēi ,Vi
式樣,shìyàng ,N
世,shì ,N
世紀,shìjì ,N
市立,shìlì ,Vs-attr
市民,shìmín ,N
市區,shìqū ,N
視,shì ,Prep
視野,shìyě ,N
適當,shìdàng ,Vs
適合,shìhé ,Vst
適用,shìyòng ,Vst
是非,shìfēi ,N
是否,shìfŏu ,Adv
事件,shìjiàn ,N
事實上,shìshíshàng ,Adv
事物,shìwù ,N
事先,shìxiān ,Adv
勢力,shìlì ,N
試驗,shìyàn ,V
收據,shōujù ,N
收看,shōukàn ,V
收入,shōurù ,N
收拾,shōushí ,V
手電筒,shŏudiàntŏng  ,N
手段,shŏuduàn  ,N
手工,shŏugōng  ,N
手術,shŏushù  ,N
首,shŏu ,Det
首都,shŏudū  ,N
首先,shŏuxiān  ,Adv
受,shòu ,Prep
受,shòu ,Vst
受不了,shòubùliăo  ,Vst
受到,shòudào  ,Vpt
售,shòu ,V
壽命,shòumìng  ,N
疏忽,shūhū ,Vp
書房,shūfáng ,N
書籍,shūjí ,N
輸出,shūchū,V
輸入,shūrù ,V
熟,shú ,Vs
熟練,shúliàn ,Vs
熟人,shúrén ,N
屬,shŭ ,Vst
屬於,shŭyú ,Vst
暑期,shŭqí ,N
束,shù ,M
數,shù ,N
數量,shùliàng ,N
數目,shùmù ,N
樹林,shùlín ,N
刷,shuā ,V
刷(子),shuā(zi),N
刷卡,shuākă ,V-sep
耍,shuă ,V
摔,shuāi ,V
衰退,shuāituì ,Vp
甩,shuăi ,V
率領,shuàilĭng ,V
雙,shuāng ,M
雙胞胎,shuāngbāotāi ,N
雙方,shuāngfāng ,N
水分/份,shuĭfèn ,N
水災,shuǐzāi ,N
稅,shuì ,N
說服,shuìfú ,V
順,shùn ,Prep
順,shùn ,Vs
順手,shùnshŏu ,Vs
順序,shùnxù ,N
說不定,shuōbúdìng ,Adv
碩士,shuòshì ,N
絲,sī ,N
撕,sī ,V
私立,sīlì ,Vs-attr
私人,sīrén ,N
思索,sīsuŏ ,V
死,sĭ,Adv
死亡,sĭwáng ,Vp
四處,sìchù ,Adv
四處,sìchù ,N
四方,sìfāng ,N
四季,sìjì ,N
四周/週,sìzhōu ,N
飼養,sìyăng ,V
鬆,sōng ,Vs
送行,sòngxíng ,Vi
俗,sú ,Vs
俗話,súhuà  ,N
俗話說,súhuàshuō ,
算,suàn ,V
算起來,suànqĭlái  ,Adv
算是,suànshì  ,Vst
算帳,suànzhàng  ,V-sep
隨,suí ,Vst
隨手,suíshŏu,Adv
隨意,suíyì  ,Vs
隨著,suízhe ,Prep
碎,suì ,Vp
歲數,suìshù  ,N
孫女,sūnnǚ ,N
孫子,sūnzi ,N
損失,sŭnshī ,N
損失,sŭnshī ,Vpt
縮,suō ,V
縮短,suōduăn ,V
縮水,suōshuĭ,Vp
鎖,suŏ ,N
鎖,suŏ ,V
塌,tā ,Vp
踏,tà ,V
抬頭,táitóu ,V-sep
太空,tàikōng ,N
攤子,tānzi ,N
彈,tán ,V
談判,tánpàn ,Vi
毯子,tănzi ,N
探,tàn ,V
探親,tànqīn ,V-sep
探討,tàntăo ,V
趟,tàng ,M
燙,tàng ,V
燙,tàng ,Vs
掏,tāo ,V
逃,táo ,Vi
逃避,táobì ,V
逃走,táozŏu ,Vp
陶瓷,táocí ,N
淘氣,táoqì ,Vs
桃子,táozi ,N
討,tăo ,V
套,tào,M
套,tào ,V
特別,tèbié ,Adv
特點,tèdiăn ,N
提,tí ,V
提起,tíqĭ,V
提前,tíqián ,Vp
提醒,tíxĭng ,V
提早,tízăo ,Vp
題,tí ,M
體溫,tĭwēn ,N
體驗,tǐyàn ,V
天才,tiāncái ,N
天空,tiānkōng ,N
天然,tiānrán ,Vs
天文,tiānwén ,N
天真,tiānzhēn ,Vs
天主教,Tiānzhŭjiào,N
田野,tiányě ,N
挑,tiāo ,V
挑選,tiāoxuăn ,V
條,tiáo ,M
條約,tiáoyuē ,N
調,tiáo ,V
調整,tiáozhěng ,V
跳高,tiàogāo ,Vi
跳遠,tiàoyuăn ,Vi
貼心,tiēxīn ,Vs
停止,tíngzhĭ ,Vpt
挺,tĭng ,V
挺,tĭng ,Vs
通,tōng,M
通,tōng ,Vs
通常,tōngcháng  ,Adv
通過,tōngguò ,V
通信,tōngxìn  ,V-sep
通訊,tōngxùn  ,N
同,tóng ,Adv
同,tóng ,Vs
同胞,tóngbāo  ,N
同志,tóngzhì  ,N
銅,tóng ,N
桶,tǒng ,M
統計,tǒngjì  ,V
統一,tǒngyī  ,Vs
統治,tǒngzhì  ,V
痛快,tòngkuài ,Vs
偷/偷偷,tōu/tōutōu,Adv
頭,tóu,M
頭腦,tóunăo ,N
投票,tóupiào ,V-sep
投入,tóurù  ,V
投降,tóuxiáng  ,Vi
投資,tóuzī  ,N
透,tòu ,Vs
透過,tòuguò ,Prep
禿,tū ,Vs
突出,túchū ,Vs
突破,túpò  ,N
突破,túpò  ,V
途徑,tújìng ,N
圖書,túshū  ,N
圖章,túzhāng  ,N
吐,tŭ ,V
團,tuán ,M
團結,tuánjié ,Vs
推動,tuīdòng ,V
推翻,tuīfān ,V
推廣,tuīguăng ,V
退,tuì ,Vpt
退出,tuìchū ,Vpt
退回,tuìhuí ,Vpt
吞,tūn ,V
拖,tuō ,V
拖鞋,tuōxié ,N
托兒所,tuōérsuŏ ,N
脫離,tuōlí ,V
妥當(ㄉㄤ˙),tuǒdang,Vs
妥善,tuŏshàn ,Vs
妥協,tuŏxié ,Vi
哇,wā ,Ptc
挖,wā ,V
歪,wāi ,Vs
外部,wàibù ,N
外出,wàichū ,Vi
外地,wàidì ,N
外觀,wàiguān ,N
外行,wàiháng ,Vs
外匯,wàihuì ,N
外交,wàijiāo ,N
外界,wàijiè ,N
外科,wàikē ,N
外頭,wàitou ,N
彎,wān ,Vs
彎腰,wānyāo ,V-sep
完畢,wánbì ,Vp
完善,wánshàn ,Vs
完整,wánzhěng ,Vs
玩笑,wánxiào ,N
晚輩,wănbèi ,N
往,wăng ,V
望,wàng ,V
威脅,wēixié ,N
威脅,wēixié ,V
圍,wéi ,V
違反,wéifăn ,Vst
維護,wéihù ,V
維他命,wéitāmìng ,N
危機,wéijī ,N
為難,wéinán ,Vs
唯一,wéiyī ,Vs-attr
尾巴,wěiba ,N
委屈,wěiqū ,Vs
委託,wěituō ,V
委員,wěiyuán ,N
未,wèi ,Adv
未婚,wèihūn ,Vs
位於,wèiyú ,Vst
味/味兒,wèi/wèir,N
味精,wèijīng ,N
為何,wèihé ,Adv
衛生,wèishēng ,Vs
衛生紙,wèishēngzhĭ ,N
衛星,wèixīng ,N
慰問,wèiwèn ,V
溫和,wēnhé ,Vs
文法,wénfă ,N
文具,wénjù ,N
文憑,wénpíng ,N
文物,wénwù ,N
文藝,wényì ,N
蚊子,wénzi ,N
吻,wěn ,N
吻,wěn ,V
穩,wěn ,Vs
握,wò ,V
臥房,wòfáng ,N
汙/污染,wūrăn,V
無可奈何,wúkěnàihé ,Vs
無論,wúlùn ,Conj
無情,wúqíng ,Vs
無數,wúshù ,Det
無限,wúxiàn ,Vs
無意,wúyì ,Vs
武器,wŭqì ,N
武術,wŭshù ,N
舞,wŭ ,N
舞蹈,wŭdào ,N
舞台/臺,wŭtái ,N
舞廳,wŭtīng ,N
勿,wù ,Adv
物理,wùlǐ ,N
物質,wùzhí ,N
誤,wù ,Adv
誤,wù ,Vst
誤點,wùdiăn ,Vp
誤會,wùhuì ,Vst
霧,wù ,N
西裝,xīzhuāng ,N
吸,xī ,V
吸取,xīqŭ ,V
吸食,xīshí ,V
吸煙,xīyān ,V-sep
媳婦,xífù ,N
喜酒,xĭjiŭ ,N
喜劇,xǐjù ,N
系列,xìliè  ,N
細胞,xìbāo  ,N
細節,xìjié  ,N
細菌,xìjùn  ,N
細小,xìxiăo  ,Vs
瞎,xiā ,Vp
蝦(子),xiā(zi),N
蝦米,xiāmĭ ,N
下巴,xiàbā  ,N
下降,xiàjiàng  ,Vp
下來,xiàlái  ,N
下棋,xiàqí  ,V-sep
下去,xiàqù  ,Ptc
下午茶,xiàwŭchá  ,N
下游,xiàyóu  ,N
夏季,xiàjì  ,N
先進,xiānjìn ,Vs
鮮,xiān ,Vs
鮮花,xiānhuā ,N
鮮奶,xiānnăi ,N
鮮血,xiānxiě ,N
閒,xián ,Vs
嫌,xián ,Vst
顯得,xiănde ,Vs
顯然,xiănrán ,Adv
顯示,xiănshì ,V
顯著,xiănzhù ,Vs
現,xiàn ,Adv
現場,xiànchăng ,N
現成,xiànchéng ,Vs-attr
現金,xiànjīn ,N
羨慕,xiànmù ,Vs
限制,xiànzhì ,V
相,xiāng ,Adv
相處,xiāngchŭ ,Vi
相當,xiāngdāng ,Vs
相互,xiānghù ,Adv
相親相愛,xiāngqīnxiāngài ,Vs
相似,xiāngsì ,Vs
箱,xiāng ,M
香腸,xiāngcháng ,N
鄉村,xiāngcūn ,N
想不到,xiăngbúdào ,
想念,xiăngniàn ,Vst
享受,xiăngshòu ,Vst
享有,xiăngyŏu ,Vst
響應,xiăngyìng ,V
象,xiàng ,N
相片/相片兒,xiàngpiàn/xiàngpiànr,N
相親,xiàngqīn ,V-sep
巷(子),xiàng(zi),N
向來,xiànglái ,Adv
項目,xiàngmù ,N
消,xiāo ,Vp
消除,xiāochú ,V
消費,xiāofèi ,N
消費,xiāofèi ,V
消化,xiāohuà ,V
消極,xiāojí ,Vs
消滅,xiāomiè ,Vpt
消失,xiāoshī ,Vp
消/宵夜,xiāoyè ,N
銷路,xiāolù ,N
銷售,xiāoshòu ,V
小便,xiăobiàn ,Vi
小費,xiăofèi ,N
小麥,xiăomài ,N
小氣,xiăoqì ,Vs
小腿,xiăotuǐ ,N
小子,xiăozi ,N
曉得,xiăode ,Vst
校車,xiàochē ,N
校友,xiàoyŏu ,N
效率,xiàolǜ ,N
笑容,xiàoróng ,N
歇,xiē ,Vi
斜,xié ,Vs
血管,xiěguăn ,N
血型,xiěxíng ,N
血液,xiěyè ,N
心靈,xīnlíng ,N
心目中,xīnmùzhōng ,N
心聲,xīnshēng ,N
心跳,xīntiào ,N
心臟,xīnzàng ,N
新郎,xīnláng ,N
新娘,xīnniáng ,N
新式,xīnshì ,Vs-attr
新興,xīnxīng ,Vs-attr
薪水,xīnshuĭ ,N
信號,xìnhào ,N
信任,xìnrèn ,Vst
信仰,xìnyăng ,N
信仰,xìnyăng ,Vst
信用,xìnyòng ,N
星光,xīngguāng ,N
行程,xíngchéng ,N
行動,xíngdòng ,Vi
行人,xíngrén ,N
形成,xíngchéng ,Vpt
形式,xíngshì ,N
形象,xíngxiàng ,N
形狀,xíngzhuàng ,N
性質,xìngzhí ,N
雄偉,xióngwěi ,Vs
休假,xiūjià ,V-sep
休閒,xiūxián  ,Vi
修正,xiūzhèng  ,V
需,xū ,Vst
須知,xūzhī  ,N
許,xŭ ,V
許願,xŭyuàn  ,V-sep
宣布/佈,xuānbù,V
宣傳,xuānchuán ,N
宣傳,xuānchuán ,V
懸,xuán ,V
選手,xuănshŏu ,N
靴(子),xuē(zi),N
學會,xuéhuì ,N
學歷,xuélì ,N
學術,xuéshù ,N
學位,xuéwèi ,N
學業,xuéyè ,N
學者,xuézhě ,N
雪花,xuěhuā ,N
削減,xuèjiăn ,V
尋,xún ,V
循環,xúnhuán ,Vi
迅速,xùnsù ,Vs
壓,yā ,V
壓力,yālì ,N
壓迫,yāpò ,V
牙膏,yágāo ,N
煙/菸,yān,N
沿,yán ,Prep
嚴,yán ,Vs
嚴格,yángé ,Vs
嚴肅,yánsù ,Vs
鹽巴,yánbā ,N
延長,yáncháng ,V
癌症,yánzhèng ,N
演唱,yănchàng ,V
演奏,yănzòu ,V
掩蓋,yăngài ,V
宴會,yànhuì ,N
厭惡,yànwù ,Vs
癢,yăng ,Vs
氧氣,yăngqì ,N
樣品,yàngpĭn ,N
喲,yāo ,Ptc
腰,yāo ,N
搖,yáo ,V
搖擺,yáobăi ,V
搖頭,yáotóu ,V-sep
要不,yàobù ,Conj
要好,yàohăo ,Vs
要命,yàomìng ,Vs
藥方,yàofāng ,N
藥水,yàoshuĭ ,N
藥物,yàowù ,N
野,yě ,Vs
野獸,yěshòu ,N
野心,yěxīn ,N
夜景,yèjǐng ,N
夜晚,yèwăn ,N
業務,yèwù ,N
業餘,yèyú ,Vs-attr
葉子,yèzi ,N
一一,yīyī ,Adv
衣裳,yīshang ,N
依據,yījù ,N
依然,yīrán ,Adv
醫,yī ,V
醫師,yīshī ,N
醫學,yīxué ,N
一帶,yídài ,N
一旦,yídàn ,Conj
一大早,yídàzăo ,N
一面,yímiàn ,Adv
一再,yízài ,Adv
一致,yízhì ,Vs
移,yí ,V
移動,yídòng ,V
移民,yímín ,Vp
疑問,yíwèn ,N
儀器,yíqì ,N
儀式,yíshì ,N
乙,yĭ,N
